month,grdatn,marstat,age,class,region,state,hours,mlr,natvty,msafp,msastat,faminc,spneth,race,year,class_t1,mlr_t1,wgta,ind2,indmaj2,ind2_t1,indmaj2_t1,pid,yeart1,female,immigr,homeown,hoursu1b,hoursu1b_t1,se15u,se15u_t1,ent015u,ent015ua,vet,wgtat,wgtat1
12,42,5,57,4,1,14,40,1,57,49340,2,15,-1,1,2014,4,1,3032.981195,8190,10,8190,10,15866200851 3111 11912,2015,1,0,,40,40,0,0,0,0,0,269.1724422,270.4338243
12,39,7,26,4,1,14,40,1,57,49340,2,15,2,1,2014,4,1,4541.187866,2170,4,2170,4,15866200851 3111 21912,2015,0,0,,40,40,0,0,0,0,0,403.0234775,404.9121055
12,41,1,43,4,2,41,46,1,110,0,4,12,-1,1,2014,4,1,4538.557934,3960,4,3960,4,17286201521 3011 11912,2015,0,0,,46,40,0,0,0,0,0,402.790075,404.6776092
12,39,1,38,4,2,41,40,1,57,0,4,12,-1,1,2014,4,1,3864.117169,7860,10,7860,10,17286201521 3011 21912,2015,1,0,,40,30,0,0,0,0,0,342.9344887,344.5415307
12,42,1,51,-1,3,58,-1,6,57,12060,2,13,-1,1,2014,-1,6,6312.496934,,,,,43549100171 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,560.2244481,562.8497432
12,42,1,50,4,3,58,50,1,57,12060,2,13,-1,1,2014,4,1,4557.136112,8660,11,8660,11,43549100171 3011 21912,2015,1,0,,50,60,0,0,0,0,0,404.4388599,406.3341205
12,39,7,33,4,1,16,-1,4,57,49340,2,7,-1,1,2014,4,4,4641.737973,2370,4,2370,4,50515022917 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,411.9471457,413.8775913
12,40,4,52,5,1,16,42,1,57,49340,2,7,-1,1,2014,5,1,4199.769682,8170,10,8170,10,50515022917 3011 21912,2015,1,0,,40,10,0,0,0,,0,372.7231359,374.4697719
12,43,1,41,4,4,81,30,1,57,0,3,14,-1,1,2014,4,1,459.801295,7280,9,7280,9,50533300001 3111 11912,2015,1,0,,30,30,0,0,0,0,0,40.80666168,40.99788776
12,39,1,43,6,4,81,40,1,57,0,3,14,-1,1,2014,6,1,527.5148698,5275,5,5275,5,50533300001 3111 21912,2015,0,0,,40,40,1,1,,,0,46.81613788,47.03552526
12,44,1,43,5,3,56,30,1,57,24660,2,16,-1,1,2014,5,1,4191.893064,7860,10,7860,10,57233301001 3011 11912,2015,1,0,,30,40,0,0,0,0,0,372.0240981,373.7674583
12,44,1,45,4,3,56,65,1,57,24660,2,16,-1,1,2014,4,1,4687.947097,2280,4,2280,4,57233301001 3011 21912,2015,0,0,,65,50,0,0,0,0,0,416.0481348,417.9977982
12,40,1,64,3,4,93,40,1,57,39820,4,15,-1,1,2014,3,1,3797.347603,680,6,680,6,76291001941 3011 11912,2015,0,0,,40,40,0,0,0,0,1,337.0087919,338.5880652
12,43,1,54,2,4,93,20,1,57,39820,4,15,-1,1,2014,2,1,3852.316697,7860,10,7860,10,76291001941 3011 21912,2015,1,0,,28,27,0,0,0,0,0,341.8872149,343.4893492
12,43,1,28,4,3,59,50,1,57,29460,2,15,-1,1,2014,4,1,5230.433323,8180,10,8180,10,104921210692 3011 11912,2015,0,0,,50,40,0,0,0,0,0,464.1929576,466.3682348
12,39,1,28,4,3,59,50,1,57,29460,2,15,-1,1,2014,4,1,4727.5996,8180,10,8180,10,104921210692 3011 21912,2015,1,0,,50,40,0,0,0,0,0,419.5672338,421.5333882
12,39,1,48,4,3,63,60,1,57,0,3,15,-1,1,2014,4,1,2506.12264,2690,4,2690,4,110012490294 3011 11912,2015,0,0,,40,70,0,0,0,0,1,222.4145512,223.4568189
12,42,1,46,5,3,63,40,1,57,0,3,15,-1,1,2014,5,1,2732.339369,8190,10,8190,10,110012490294 3011 21912,2015,1,0,,40,40,0,0,0,0,0,242.49094,243.6272885
12,39,1,44,4,3,63,52,1,57,0,3,13,-1,1,2014,4,1,2621.944553,6990,8,6990,8,110012490294 3111 11912,2015,0,0,,40,40,0,0,0,0,0,232.6935689,233.7840055
12,40,1,40,4,3,63,40,1,57,0,3,13,-1,1,2014,4,1,2217.407984,8590,11,8590,11,110012490294 3111 21912,2015,1,0,,40,40,0,0,0,0,0,196.7915671,197.7137616
12,43,1,43,4,3,63,45,1,57,33860,2,15,-1,1,2014,4,1,2888.29564,6680,7,6680,7,110014027325 3111 11912,2015,0,0,,45,45,0,0,0,0,0,256.3318205,257.5330295
12,39,1,41,3,3,63,40,1,57,33860,2,15,-1,1,2014,3,1,2442.664122,9480,13,9480,13,110014027325 3111 21912,2015,1,0,,40,40,0,0,0,,0,216.7827049,217.7985808
12,39,1,21,4,3,63,38,1,57,13820,2,9,-1,1,2014,4,1,3325.299697,7770,9,7770,9,110014397242 3111 11912,2015,0,0,,38,40,0,0,0,0,0,295.1152621,296.4982161
12,39,1,20,4,3,63,40,1,57,13820,2,9,-1,1,2014,4,1,3048.363829,6870,8,6870,8,110014397242 3111 21912,2015,1,0,,40,40,0,0,0,0,0,270.5376274,271.805407
12,39,1,63,-1,3,63,-1,5,57,12220,4,6,-1,1,2014,-1,5,2557.530972,,,,,110074197494 3011 11912,2015,0,0,,-1,-1,0,0,0,0,1,226.9769621,228.0406099
12,39,7,35,-1,3,63,-1,7,57,22520,4,4,-1,1,2014,-1,6,2805.822441,,,,,110085245073 3111 11912,2015,0,0,,-1,-1,0,0,0,0,1,249.0124502,250.1793596
12,43,5,54,4,3,63,45,1,57,0,3,9,-1,1,2014,4,1,2516.376358,3095,4,3095,4,110088864027 3111 11912,2015,0,0,,40,42,0,0,0,0,1,223.3245531,224.3710851
12,39,4,54,-1,3,63,-1,6,57,0,3,3,-1,2,2014,-1,5,2871.792553,,,,,110095906798 3111 11912,2015,0,0,,-1,-1,0,0,0,0,0,254.8671968,256.0615424
12,38,7,52,4,3,63,15,1,57,0,3,1,-1,2,2014,-1,7,2871.792553,4970,5,,,110115835957 3011 11912,2015,0,0,,15,-1,0,0,0,0,1,254.8671968,256.0615424
12,43,1,57,4,3,63,45,1,57,33660,2,14,-1,1,2014,4,1,2671.043385,6690,7,6690,7,110128055708 3111 11912,2015,0,0,,45,50,0,0,0,0,0,237.0510152,238.1618715
12,43,1,54,4,3,63,45,1,57,33660,2,14,-1,1,2014,4,1,2910.382142,7860,10,7860,10,110128055708 3111 21912,2015,1,0,,45,50,0,0,0,0,0,258.2919638,259.5023583
12,43,7,22,4,3,63,40,1,57,33660,2,14,-1,1,2014,4,1,3048.363829,8190,10,8190,10,110128055708 3111 31912,2015,1,0,,40,40,0,0,0,0,0,270.5376274,271.805407
12,39,1,22,3,3,63,40,1,57,0,3,7,-1,1,2014,3,1,3033.127736,9470,13,9470,13,110131735465 3011 11912,2015,0,0,,40,40,0,0,0,0,0,269.1854475,270.4468905
12,39,1,24,-1,3,63,-1,7,57,0,3,7,-1,1,2014,-1,7,2780.524379,,,,,110131735465 3011 21912,2015,1,0,,-1,-1,0,0,0,0,0,246.7672859,247.9236741
12,39,7,32,4,3,63,40,1,57,0,3,4,-1,2,2014,4,1,4107.661664,8370,10,8370,10,110131735465 3111 11912,2015,1,0,,40,14,0,0,0,0,0,364.5486901,366.2570195
12,36,7,39,-1,3,63,-1,7,57,33860,1,3,-1,2,2014,-1,6,2919.892388,,,,,110159424319 3111 11912,2015,0,0,,-1,-1,0,0,0,0,0,259.1359836,260.3503333
12,39,7,39,4,3,63,45,1,57,13820,1,7,-1,2,2014,4,1,2990.177223,8680,11,8680,11,110386055235 3111 11912,2015,0,0,,45,42,0,0,0,0,0,265.3736552,266.6172356
12,42,7,28,-1,3,71,-1,7,57,0,2,1,-1,1,2014,-1,7,1641.267491,,,,,120919087501 3111 11912,2015,1,0,,-1,-1,0,0,0,0,0,145.6599795,146.3425638
12,43,1,50,6,4,84,1,1,57,0,3,12,-1,1,2014,6,1,5447.735747,6480,7,6480,7,120919087805 3011 11912,2015,1,0,,1,20,0,1,,,0,483.4782154,485.7438662
12,43,1,48,7,4,84,41,1,57,0,3,12,-1,1,2014,7,1,4973.364026,770,3,770,3,120919087805 3011 21912,2015,0,0,,35,32,1,1,,,0,441.3784507,443.4468158
12,39,1,53,4,2,34,58,1,57,24340,1,14,-1,1,2014,4,1,4231.492138,4690,5,4690,5,200501610533 3011 11912,2015,0,0,,58,55,0,0,0,0,0,375.5384553,377.2982844
12,39,1,50,4,2,34,45,1,57,24340,1,14,-1,1,2014,4,1,4452.734005,4770,5,4770,5,200501610533 3011 21912,2015,1,0,,45,48,0,0,0,0,0,395.1733326,397.0251736
12,40,7,23,4,2,34,20,1,57,24340,1,14,-1,1,2014,4,1,5572.69787,8680,11,8680,11,200501610533 3011 31912,2015,1,0,,20,25,0,0,0,0,0,494.5684127,496.8860338
12,43,1,49,4,1,14,48,1,57,49340,1,15,-1,1,2014,4,1,3719.528834,8190,10,8190,10,205182510166 3011 11912,2015,0,0,,40,40,0,0,0,0,1,330.1024951,331.6494045
12,42,1,52,4,1,14,40,1,364,49340,1,15,7,1,2014,4,1,3573.105343,8190,10,8190,10,205182510166 3011 21912,2015,1,1,,40,40,0,0,0,0,0,317.1076343,318.5936478
12,42,7,22,4,1,14,24,1,57,49340,1,15,-1,1,2014,4,1,5427.113939,8680,11,8680,11,205182510166 3011 31912,2015,1,0,,24,15,0,0,0,0,0,481.6480615,483.9051359
12,34,7,28,-1,1,14,-1,6,364,49340,1,15,7,1,2014,-1,6,4442.551572,,,,,205182510166 3011 41912,2015,1,1,,-1,-1,0,0,0,0,0,394.2696573,396.1172635
12,39,5,44,5,4,94,40,1,57,0,3,11,-1,3,2014,5,1,785.1577147,8190,10,8190,10,210032869793 3011 11912,2015,1,0,,40,40,0,0,0,0,0,69.68154631,70.00808439
12,39,5,50,5,4,94,40,1,57,0,3,11,-1,3,2014,5,1,1103.344992,7070,8,7070,8,210032869793 3011 21912,2015,0,0,,40,40,0,0,0,0,0,97.92018051,98.37904903
12,40,1,32,-1,4,94,-1,7,57,0,1,14,-1,5,2014,-1,7,668.2813908,,,,,210695287244 3011 11912,2015,1,0,,-1,-1,0,0,0,0,0,59.30895132,59.58688188
12,34,1,36,4,4,94,60,1,57,0,1,14,-1,5,2014,4,1,861.9789036,1480,4,1480,4,210695287244 3011 21912,2015,0,0,,60,60,0,0,0,0,0,76.49930933,76.85779646
12,37,7,29,-1,4,94,-1,7,152,0,1,4,-1,10,2014,-1,7,812.6545915,,,,,210875922307 3011 11912,2015,1,1,,-1,-1,0,0,0,0,0,72.12185207,72.45982579
12,44,1,29,4,4,93,50,1,138,41860,1,16,-1,1,2014,4,1,5451.265471,7380,9,7380,9,310912076671 3011 11912,2015,0,1,,50,50,0,0,0,0,0,483.7914731,486.0585918
12,43,1,28,-1,4,93,-1,7,217,41860,1,16,-1,4,2014,-1,7,6768.591068,,,,,310912076671 3011 21912,2015,1,1,,-1,-1,0,0,0,0,0,600.702105,603.5170843
12,43,6,53,4,1,23,50,1,57,0,3,15,-1,1,2014,4,1,4505.726079,770,3,770,3,408171210665 3011 11912,2015,0,0,,50,50,0,0,0,0,0,399.8762981,401.7501779
12,37,1,55,-1,3,73,-1,7,57,0,4,9,-1,1,2014,-1,7,1989.855384,,,,,408600010734 3011 21912,2015,1,0,,-1,-1,0,0,0,0,0,176.5966219,177.4241799
12,46,1,62,4,4,86,40,1,57,38060,1,16,-1,1,2014,4,1,4762.378713,7270,9,7270,9,410106437163 3111 11912,2015,0,0,,40,40,0,0,0,0,0,422.6538269,424.6344455
12,44,1,61,-1,4,86,-1,7,57,38060,1,16,-1,1,2014,-1,7,4316.792547,,,,,410106437163 3111 21912,2015,1,0,,-1,-1,0,0,0,0,0,383.1087361,384.9040406
12,43,7,23,5,4,86,15,1,57,38060,1,16,-1,1,2014,5,1,5221.759236,9160,12,9160,12,410106437163 3111 31912,2015,1,0,,10,10,0,0,0,0,0,463.4231457,465.5948154
12,41,1,34,4,4,86,40,1,57,38060,2,7,-1,1,2014,4,1,4247.598403,390,2,390,2,410195762766 3011 11912,2015,0,0,,40,40,0,0,0,0,0,376.9678617,378.7343892
12,39,1,33,4,4,86,40,1,57,38060,2,7,-1,1,2014,4,1,5255.64706,8190,10,8190,10,410195762766 3011 21912,2015,1,0,,40,40,0,0,0,0,0,466.4306383,468.6164016
12,43,1,43,-1,4,86,-1,7,57,38060,2,13,-1,1,2014,-1,7,4258.82646,,,,,410651481497 3011 11912,2015,1,0,,-1,-1,0,0,0,0,0,377.9643346,379.7355317
12,43,1,40,2,4,86,40,1,57,38060,2,13,-1,1,2014,2,1,3974.767651,9490,13,9490,13,410651481497 3011 21912,2015,0,0,,40,40,0,0,0,0,0,352.7545498,354.40761
12,36,1,58,4,4,86,40,1,57,38060,2,6,-1,1,2014,4,1,4675.457148,8870,12,8870,12,410866945551 3011 11912,2015,0,0,,40,40,0,0,0,0,1,414.939671,416.8841399
12,39,1,46,-1,4,86,-1,7,57,38060,2,6,-1,1,2014,-1,7,4469.282017,,,,,410866945551 3011 21912,2015,1,0,,-1,-1,0,0,0,0,0,396.6419434,398.5006665
12,44,1,29,4,4,86,-1,2,57,38060,1,13,1,1,2014,4,1,4274.451438,8090,10,8090,10,410992216337 3011 11912,2015,1,0,,40,40,0,0,0,0,0,379.3510275,381.1287228
12,39,1,30,2,4,86,40,1,57,38060,1,13,1,1,2014,2,1,4028.29756,9380,13,9380,13,410992216337 3011 21912,2015,0,0,,40,40,0,0,0,0,0,357.5052473,359.18057
12,36,3,38,4,4,86,40,1,303,38060,1,6,1,1,2014,4,1,4433.450902,3875,4,3895,4,411094631691 3011 11912,2015,1,1,,40,38,0,0,0,0,0,393.4619868,395.3058081
12,43,1,46,7,4,86,15,1,217,38060,1,11,-1,4,2014,7,1,4284.253347,3960,4,3960,4,411231145559 3011 11912,2015,1,1,,15,40,1,1,,,0,380.220932,382.0027038
12,43,1,50,4,4,86,40,1,217,38060,1,11,-1,4,2014,4,1,4873.581911,3960,4,3960,4,411231145559 3011 21912,2015,0,1,,40,40,0,0,0,0,0,432.5229406,434.5498074
12,35,1,40,-1,4,86,-1,7,303,38060,1,16,1,1,2014,-1,7,3960.553373,,,,,411394631631 3011 11912,2015,1,1,,-1,-1,0,0,0,0,0,351.4930543,353.140203
12,35,1,47,4,4,86,40,1,303,38060,1,16,1,1,2014,4,1,4952.913561,8590,11,8590,11,411394631631 3011 21912,2015,0,1,,40,40,0,0,0,0,0,439.5635032,441.6233631
12,37,1,24,-1,4,86,-1,7,57,38060,1,9,1,1,2014,-1,7,4397.537164,,,,,411599443672 3011 11912,2015,1,0,,-1,-1,0,0,0,0,0,390.2746974,392.1035826
12,38,1,30,4,4,86,38,1,57,38060,1,9,1,1,2014,4,1,4028.29756,4970,5,4970,5,411599443672 3011 21912,2015,0,0,,38,38,0,0,0,0,0,357.5052473,359.18057
12,40,5,40,4,4,86,50,1,303,38060,1,13,1,1,2014,4,1,4754.713119,7070,8,7070,8,411751481437 3011 11912,2015,0,1,,50,50,0,0,0,0,0,421.9735171,423.9509477
12,43,7,57,-1,4,86,-1,6,57,38060,1,6,-1,1,2014,-1,6,4571.617536,,,,,411899443612 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,405.7240641,407.6253474
12,44,1,43,2,3,54,50,1,57,47900,2,14,-1,1,2014,2,1,6156.726602,7860,10,7860,10,505990110291 3011 11912,2015,1,0,,40,40,0,0,0,0,0,546.4000694,548.9605814
12,43,1,43,-1,3,54,-1,7,57,47900,2,14,-1,1,2014,-1,7,5342.58464,,,,,505990110291 3011 21912,2015,0,0,,-1,-1,0,0,0,0,0,474.1462155,476.3681351
12,40,1,46,7,3,71,32,1,57,22220,1,14,-1,1,2014,7,1,1351.746579,8560,11,8560,11,510037384998 3111 11912,2015,0,0,,32,35,1,1,,,0,119.9654414,120.5276173
12,43,1,51,4,3,71,50,1,57,22220,1,14,-1,1,2014,4,1,1615.424933,3970,4,3970,4,510037384998 3111 21912,2015,1,0,,50,40,0,0,0,0,0,143.3664921,144.0383288
12,39,5,54,7,3,71,48,1,248,38220,4,4,-1,4,2014,7,1,1369.893497,4970,5,4970,5,510065561296 3111 11912,2015,0,1,,24,40,1,1,,,0,121.5759527,122.1456757
12,39,5,61,-1,3,71,-1,6,57,0,3,6,-1,1,2014,-1,6,1230.579626,,,,,510075069696 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,109.2120596,109.7238436
12,39,1,58,-1,3,71,-1,6,57,0,3,3,-1,1,2014,-1,6,1181.287626,,,,,510099755077 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,104.8374701,105.328754
12,36,1,52,-1,3,71,-1,7,57,0,3,3,-1,1,2014,-1,7,1452.140508,,,,,510099755077 3011 21912,2015,1,0,,-1,-1,0,0,0,0,0,128.8752491,129.4791777
12,40,7,36,-1,3,71,-1,7,57,38220,4,6,-1,2,2014,-1,6,2132.091561,,,,,510178740865 3011 11912,2015,1,0,,-1,-1,0,0,0,0,0,189.2198651,190.1065775
12,41,3,45,-1,4,93,-1,6,57,17020,4,5,-1,1,2014,-1,6,3876.314178,,,,,610032705493 3011 11912,2015,1,0,,-1,-1,0,0,0,0,0,344.0169546,345.6290692
12,39,1,63,7,4,93,50,1,303,42100,1,8,1,1,2014,7,1,5216.556343,8470,10,8470,10,610104969912 3011 11912,2015,1,0,,40,40,1,1,,,0,462.9613969,465.1309028
12,39,1,60,7,4,93,40,1,303,42100,1,8,1,1,2014,7,1,5338.218756,4980,5,4980,5,610104969912 3011 21912,2015,0,1,,40,36,1,1,,,0,473.7587499,475.9788539
12,37,1,51,-1,4,93,-1,6,57,0,3,10,-1,1,2014,-1,6,3836.526756,,,,,610118260155 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,340.4858817,342.0814492
12,39,1,51,4,4,93,30,1,57,0,3,10,-1,1,2014,4,1,3652.693793,6870,8,6870,8,610118260155 3011 21912,2015,1,0,,30,32,0,0,0,0,0,324.1709875,325.6901009
12,42,1,46,4,4,93,30,1,57,0,3,13,-1,1,2014,4,1,3820.893558,7390,9,7390,9,610122486159 3011 11912,2015,0,0,,40,40,0,0,0,0,0,339.0984593,340.6875251
12,42,1,44,4,4,93,40,1,57,0,3,13,-1,1,2014,4,1,4254.836564,7980,10,7980,10,610122486159 3011 21912,2015,1,0,,40,45,0,0,0,0,0,377.6102375,379.3797752
12,38,7,56,4,4,93,20,1,57,41860,2,10,-1,1,2014,4,1,4159.163816,770,3,770,3,610140988166 3011 11912,2015,0,0,,30,30,0,0,0,0,0,369.1194274,370.8491759
12,39,5,64,-1,4,93,-1,5,57,0,3,7,-1,1,2014,-1,5,3600.573167,,,,,610154516469 3011 11912,2015,0,0,,-1,-1,0,0,0,0,0,319.5453616,321.0427987
12,40,1,42,4,4,93,19,1,57,44700,1,13,-1,1,2014,4,1,4640.252728,5380,5,5380,5,610165826468 3011 11912,2015,1,0,,18,25,0,0,0,0,0,411.8153325,413.7451603